name	length	score	pvalue	qvalue
NZ_ACVN02000334.1 Propionibacterium acidifaciens F0233 ctg1127964738343, whole genome shotgun sequence	16464	0.0025026761969622	0.881154499151104	0.999920556107249
NZ_ACVN02000333.1 Propionibacterium acidifaciens F0233 ctg1127964738297, whole genome shotgun sequence	17381	0.0427964875184991	0.479383943730293	0.999920556107249
NZ_ACVN02000332.1 Propionibacterium acidifaciens F0233 ctg1127964738265, whole genome shotgun sequence	18248	0.00668474240578673	0.781227261702644	0.999920556107249
NZ_ACVN02000331.1 Propionibacterium acidifaciens F0233 ctg1127964737951, whole genome shotgun sequence	5703	0.0026751033864626	0.873756973077856	0.999920556107249
NZ_ACVN02000330.1 Propionibacterium acidifaciens F0233 ctg1127964737920, whole genome shotgun sequence	13021	0.00420414117979857	0.832161047780742	0.999920556107249
NZ_ACVN02000329.1 Propionibacterium acidifaciens F0233 ctg1127964737955, whole genome shotgun sequence	5233	0.0176091713174947	0.638370118845501	0.999920556107249
NZ_ACVN02000328.1 Propionibacterium acidifaciens F0233 ctg1127964738074, whole genome shotgun sequence	555	0.0119957609892482	0.957934458788481	0.999920556107249
NZ_ACVN02000327.1 Propionibacterium acidifaciens F0233 ctg1127964737926, whole genome shotgun sequence	9268	0.00700373018608653	0.77395100654863	0.999920556107249
NZ_ACVN02000326.1 Propionibacterium acidifaciens F0233 ctg1127964738031, whole genome shotgun sequence	1769	0.00619327604390803	0.939171682544744	0.999920556107249
NZ_ACVN02000325.1 Propionibacterium acidifaciens F0233 ctg1127964738349, whole genome shotgun sequence	12354	0.0054071537311199	0.806572883822459	0.999920556107249
NZ_ACVN02000324.1 Propionibacterium acidifaciens F0233 ctg1127964738434, whole genome shotgun sequence	10357	0.00606891962645647	0.794203250060635	0.999920556107249
NZ_ACVN02000323.1 Propionibacterium acidifaciens F0233 ctg1127964738286, whole genome shotgun sequence	3088	0.00154447535311611	0.91741450400194	0.999920556107249
NZ_ACVN02000322.1 Propionibacterium acidifaciens F0233 ctg1127964737919, whole genome shotgun sequence	752	0.421154195279739	0.24909632571996	0.999920556107249
NZ_ACVN02000321.1 Propionibacterium acidifaciens F0233 ctg1127964738005, whole genome shotgun sequence	2266	0.0330401600364357	0.761470084107307	0.999920556107249
NZ_ACVN02000320.1 Propionibacterium acidifaciens F0233 ctg1127964738025, whole genome shotgun sequence	2003	0.00207997311251329	0.98058755530753	0.999920556107249
